[Person #1, Arrival Time: 0.33078835783279587, Departure Time: 0.33078849490619094, Wait Time: 1.370733950789571e-07, Time Boarded Lift: 0.33078849490619094, Walker: False]
[Person #2, Arrival Time: 0.7108963439594704, Departure Time: 2.3307884949061908, Wait Time: 1.6198921509467203, Time Boarded Lift: 2.3307884949061908, Walker: False]
[Person #3, Arrival Time: 1.3972405190782042, Departure Time: 2.3307884949061908, Wait Time: 0.9335479758279865, Time Boarded Lift: 2.3307884949061908, Walker: False]
[Person #4, Arrival Time: 1.5434702023273112, Departure Time: 2.3307884949061908, Wait Time: 0.7873182925788795, Time Boarded Lift: 2.3307884949061908, Walker: False]
[Person #5, Arrival Time: 0.8335874236411636, Departure Time: 3.8307884949061908, Wait Time: 2.997201071265027, Time Boarded Lift: 2.3307884949061908, Walker: False]
[Person #6, Arrival Time: 1.1673918236075063, Departure Time: 3.8307884949061908, Wait Time: 2.6633966712986847, Time Boarded Lift: 2.3307884949061908, Walker: False]
[Person #7, Arrival Time: 1.5428415874332273, Departure Time: 3.8307884949061908, Wait Time: 2.2879469074729633, Time Boarded Lift: 2.3307884949061908, Walker: False]
[Person #8, Arrival Time: 1.6339654761090254, Departure Time: 3.8307884949061908, Wait Time: 2.1968230187971653, Time Boarded Lift: 2.3307884949061908, Walker: False]
[Person #9, Arrival Time: 0.6034182121555437, Departure Time: 4.830788494906191, Wait Time: 4.227370282750647, Time Boarded Lift: 2.3307884949061908, Walker: False]
[Person #10, Arrival Time: 1.2679937932611427, Departure Time: 4.830788494906191, Wait Time: 3.562794701645048, Time Boarded Lift: 2.3307884949061908, Walker: False]
[Person #0, Arrival Time: 3.6796699409009865, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 4.866580484095989, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #11, Arrival Time: 1.5303957103279189, Departure Time: 5.830788494906191, Wait Time: 4.300392784578272, Time Boarded Lift: 2.3307884949061908, Walker: False]
[Person #12, Arrival Time: 2.3886351183882066, Departure Time: 5.830788494906191, Wait Time: 3.442153376517984, Time Boarded Lift: 5.830788494906191, Walker: False]
[Person #13, Arrival Time: 2.6172094728677773, Departure Time: 5.830788494906191, Wait Time: 3.2135790220384135, Time Boarded Lift: 5.830788494906191, Walker: False]
[Person #14, Arrival Time: 3.158290128873861, Departure Time: 5.830788494906191, Wait Time: 2.67249836603233, Time Boarded Lift: 5.830788494906191, Walker: False]
[Person #15, Arrival Time: 1.124343900650075, Departure Time: 7.330788494906191, Wait Time: 6.206444594256116, Time Boarded Lift: 2.3307884949061908, Walker: False]
[Person #16, Arrival Time: 3.1283735389677467, Departure Time: 7.330788494906191, Wait Time: 4.202414955938444, Time Boarded Lift: 5.830788494906191, Walker: False]
[Person #17, Arrival Time: 3.434067596916347, Departure Time: 7.330788494906191, Wait Time: 3.8967208979898436, Time Boarded Lift: 5.830788494906191, Walker: False]
[Person #18, Arrival Time: 2.5730609562639666, Departure Time: 8.33078849490619, Wait Time: 5.757727538642224, Time Boarded Lift: 5.830788494906191, Walker: False]
[Person #0, Arrival Time: 8.534116535395082, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #19, Arrival Time: 1.56179954594361, Departure Time: 9.33078849490619, Wait Time: 7.768988948962581, Time Boarded Lift: 2.3307884949061908, Walker: False]
[Person #20, Arrival Time: 2.9047536647544483, Departure Time: 9.33078849490619, Wait Time: 6.4260348301517425, Time Boarded Lift: 5.830788494906191, Walker: False]
[Person #21, Arrival Time: 5.941398218372919, Departure Time: 9.33078849490619, Wait Time: 3.3893902765332715, Time Boarded Lift: 9.33078849490619, Walker: False]
[Person #22, Arrival Time: 6.620687297731756, Departure Time: 9.33078849490619, Wait Time: 2.710101197174435, Time Boarded Lift: 9.33078849490619, Walker: False]
[Person #23, Arrival Time: 6.8525814567907455, Departure Time: 9.33078849490619, Wait Time: 2.4782070381154453, Time Boarded Lift: 9.33078849490619, Walker: False]
[Person #24, Arrival Time: 7.535029344186045, Departure Time: 9.33078849490619, Wait Time: 1.795759150720146, Time Boarded Lift: 9.33078849490619, Walker: False]
[Person #25, Arrival Time: 6.601072484281305, Departure Time: 10.83078849490619, Wait Time: 4.229716010624886, Time Boarded Lift: 9.33078849490619, Walker: False]
[Person #26, Arrival Time: 7.327844638115095, Departure Time: 10.83078849490619, Wait Time: 3.502943856791096, Time Boarded Lift: 9.33078849490619, Walker: False]
[Person #27, Arrival Time: 6.7220314112000255, Departure Time: 11.83078849490619, Wait Time: 5.108757083706165, Time Boarded Lift: 9.33078849490619, Walker: False]
[Person #0, Arrival Time: 10.739088159420605, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 11.096330206575068, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 11.405518160761384, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 11.876449423997004, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #0, Arrival Time: 12.745494450600342, Departure Time: 0, Wait Time: 0, Time Boarded Lift: 0, Walker: True]
[Person #28, Arrival Time: 2.4027575675905797, Departure Time: 12.83078849490619, Wait Time: 10.42803092731561, Time Boarded Lift: 5.830788494906191, Walker: False]
[Person #29, Arrival Time: 7.304639207945663, Departure Time: 12.83078849490619, Wait Time: 5.5261492869605275, Time Boarded Lift: 9.33078849490619, Walker: False]
[Person #30, Arrival Time: 9.675585004559656, Departure Time: 12.83078849490619, Wait Time: 3.155203490346535, Time Boarded Lift: 12.83078849490619, Walker: False]
[Person #31, Arrival Time: 9.847557494987335, Departure Time: 12.83078849490619, Wait Time: 2.983230999918856, Time Boarded Lift: 12.83078849490619, Walker: False]
[Person #32, Arrival Time: 9.722242674220709, Departure Time: 14.33078849490619, Wait Time: 4.608545820685482, Time Boarded Lift: 12.83078849490619, Walker: False]
[Person #33, Arrival Time: 10.423507947344914, Departure Time: 14.33078849490619, Wait Time: 3.9072805475612764, Time Boarded Lift: 12.83078849490619, Walker: False]
[Person #34, Arrival Time: 10.732674691462254, Departure Time: 14.33078849490619, Wait Time: 3.598113803443937, Time Boarded Lift: 12.83078849490619, Walker: False]
[Person #35, Arrival Time: 10.34492414973746, Departure Time: 15.33078849490619, Wait Time: 4.98586434516873, Time Boarded Lift: 12.83078849490619, Walker: False]
